QueryName	ReferenceStart	ReferenceEnd	PrimerPair	Primer1	Primer1Start	Primer2	Primer2Start	IsSecondary	IsSupplementary	Start	End	CorrectlyPaired
2dae88b8-1e96-4f19-a46d-5d9148c7e57b	35	426	Ebov-DRC_1_LEFT_Ebov-DRC_1_RIGHT	Ebov-DRC_1_LEFT	8	Ebov-DRC_1_RIGHT	19	False	False	27	407	1
90664dd4-7ebc-405e-a4ee-4e7dda6c476a	35	424	Ebov-DRC_1_LEFT_Ebov-DRC_1_RIGHT	Ebov-DRC_1_LEFT	8	Ebov-DRC_1_RIGHT	17	False	False	27	407	1
0fdf904a-73fb-446b-b4f5-3bc217c356f7	35	426	Ebov-DRC_1_LEFT_Ebov-DRC_1_RIGHT	Ebov-DRC_1_LEFT	8	Ebov-DRC_1_RIGHT	19	False	False	27	407	1
f80a2fee-a0e8-4e67-8170-310426cf4555	38	426	Ebov-DRC_1_LEFT_Ebov-DRC_1_RIGHT	Ebov-DRC_1_LEFT	11	Ebov-DRC_1_RIGHT	19	False	False	27	407	1
796ef8b0-3c69-4a80-ae82-d7d4cd9d1d10	38	426	Ebov-DRC_1_LEFT_Ebov-DRC_1_RIGHT	Ebov-DRC_1_LEFT	11	Ebov-DRC_1_RIGHT	19	False	False	27	407	1
ae5728bf-08a7-4330-9ae8-f5c2c3c98a6b	82	426	Ebov-DRC_1_LEFT_Ebov-DRC_1_RIGHT	Ebov-DRC_1_LEFT	55	Ebov-DRC_1_RIGHT	19	False	False	27	407	1
fd407fe0-4459-40a9-89e7-83788a22122a	332	725	Ebov-DRC_2_LEFT_Ebov-DRC_2_RIGHT	Ebov-DRC_2_LEFT	18	Ebov-DRC_2_RIGHT	5	False	False	350	730	1
7f812cfe-8c97-4d6b-a9d9-f8fbb7265a6e	332	718	Ebov-DRC_2_LEFT_Ebov-DRC_2_RIGHT	Ebov-DRC_2_LEFT	18	Ebov-DRC_2_RIGHT	12	False	False	350	730	1
a8ae1824-c2e4-43bc-aae4-8d062aaf5aec	332	725	Ebov-DRC_2_LEFT_Ebov-DRC_2_RIGHT	Ebov-DRC_2_LEFT	18	Ebov-DRC_2_RIGHT	5	False	False	350	730	1
76a40aae-0e59-4288-9e42-14a3fa950e9c	332	713	Ebov-DRC_2_LEFT_Ebov-DRC_2_RIGHT	Ebov-DRC_2_LEFT	18	Ebov-DRC_2_RIGHT	17	False	False	350	730	1
66e7ba7d-2b0e-4c00-b0bd-0772cec8e77d	332	725	Ebov-DRC_2_LEFT_Ebov-DRC_2_RIGHT	Ebov-DRC_2_LEFT	18	Ebov-DRC_2_RIGHT	5	False	False	350	730	1
58940ea6-0bf8-45ba-a2c5-e72743ff656b	332	725	Ebov-DRC_2_LEFT_Ebov-DRC_2_RIGHT	Ebov-DRC_2_LEFT	18	Ebov-DRC_2_RIGHT	5	False	False	350	730	1
5bb4f537-404f-4734-a226-3cb76ff53b08	332	725	Ebov-DRC_2_LEFT_Ebov-DRC_2_RIGHT	Ebov-DRC_2_LEFT	18	Ebov-DRC_2_RIGHT	5	False	False	350	730	1
f547f4df-d34c-45e1-a40f-d3ceedac5880	332	725	Ebov-DRC_2_LEFT_Ebov-DRC_2_RIGHT	Ebov-DRC_2_LEFT	18	Ebov-DRC_2_RIGHT	5	False	False	350	730	1
4346d660-6257-4627-b4c6-e5042be79430	332	710	Ebov-DRC_2_LEFT_Ebov-DRC_2_RIGHT	Ebov-DRC_2_LEFT	18	Ebov-DRC_2_RIGHT	20	False	False	350	730	1
017ddb55-9fd4-4a58-a946-591642d35ebc	332	720	Ebov-DRC_2_LEFT_Ebov-DRC_2_RIGHT	Ebov-DRC_2_LEFT	18	Ebov-DRC_2_RIGHT	10	False	False	350	730	1
fbd1c28f-3678-4f21-bdee-f1e83cddbb58	332	725	Ebov-DRC_2_LEFT_Ebov-DRC_2_RIGHT	Ebov-DRC_2_LEFT	18	Ebov-DRC_2_RIGHT	5	False	False	350	730	1
fec679dd-cf6b-489e-80e2-7ccb7e33b9e4	332	725	Ebov-DRC_2_LEFT_Ebov-DRC_2_RIGHT	Ebov-DRC_2_LEFT	18	Ebov-DRC_2_RIGHT	5	False	False	350	730	1
771da789-fcb0-4191-a2d2-1f911baad57c	332	725	Ebov-DRC_2_LEFT_Ebov-DRC_2_RIGHT	Ebov-DRC_2_LEFT	18	Ebov-DRC_2_RIGHT	5	False	False	350	730	1
